Login=Login|Login
Debe calcular los dígitos primero antes de simular corrupción.=Debe calcular los dígitos primero antes de simular corrupción.|Must calculate digits first before simulating corruption.
¡Datos Alterados! Presione 'Verificar Integridad' para detectar errores.=¡Datos Alterados! Presione 'Verificar Integridad' para detectar errores.|Data Altered! Press 'Verify Integrity' to detect errors.
No hay datos para verificar.=No hay datos para verificar.|No data to verify.
No hay suma de control calculada. Calcule los dígitos primero.=No hay suma de control calculada. Calcule los dígitos primero.|No control sum calculated. Calculate digits first.
¡ERROR DE INTEGRIDAD DETECTADO!=¡ERROR DE INTEGRIDAD DETECTADO!|INTEGRITY ERROR DETECTED!
DVH: Se detectaron cambios en códigos de productos (dígitos horizontales)=DVH: Se detectaron cambios en códigos de productos (dígitos horizontales)|DVH: Changes detected in product codes (horizontal digits)
Suma: Se detectaron cambios en los porcentajes de IVA (suma vertical)=Suma: Se detectaron cambios en los porcentajes de IVA (suma vertical)|Sum: Changes detected in VAT percentages (vertical sum)
DVV General: El dígito verificador vertical no coincide=DVV General: El dígito verificador vertical no coincide|General DVV: Vertical check digit does not match
DVV Columnas: Se detectaron cambios en las columnas:=DVV Columnas: Se detectaron cambios en las columnas:|Column DVV: Changes detected in columns:
Detalles:=Detalles:|Details:
Suma Original:=Suma Original:|Original Sum:
Suma Actual:=Suma Actual:|Current Sum:
DVV General Original:=DVV General Original:|Original General DVV:
DVV General Recalculado:=DVV General Recalculado:|Recalculated General DVV:
VERIFICACIÓN OK ✅ - Todos los DVH y DVV coinciden, datos íntegros=VERIFICACIÓN OK ✅ - Todos los DVH y DVV coinciden, datos íntegros|VERIFICATION OK ✅ - All DVH and DVV match, data is intact
Verificación Fallida=Verificación Fallida|Verification Failed
✅ Verificación exitosa.=✅ Verificación exitosa.|✅ Verification successful.
Todos los dígitos verificadores horizontales (DVH) coinciden=Todos los dígitos verificadores horizontales (DVH) coinciden|All horizontal check digits (DVH) match
La suma de control vertical coincide=La suma de control vertical coincide|Vertical control sum matches
El dígito verificador vertical (DVV) general coincide=El dígito verificador vertical (DVV) general coincide|General vertical check digit (DVV) matches
Todos los DVV de columnas coinciden=Todos los DVV de columnas coinciden|All column DVVs match
Los datos no han sido alterados.=Los datos no han sido alterados.|The data has not been altered.
Verificación Exitosa=Verificación Exitosa|Verification Successful
Error al verificar integridad=Error al verificar integridad|Error verifying integrity
Información=Información|Information
• Se asignarán alícuotas aleatorias entre 0.5% y 5% a todos los clientes con tipo de IVA 'RESPONSABLE INSCRIPTO'.=• Se asignarán alícuotas aleatorias entre 0.5% y 5% a todos los clientes con tipo de IVA 'RESPONSABLE INSCRIPTO'.|• Random rates between 0.5% and 5% will be assigned to all clients with VAT type 'REGISTERED TAXPAYER'.
• Los clientes con otros tipos de IVA no serán afectados y mantendrán su alícuota actual.=• Los clientes con otros tipos de IVA no serán afectados y mantendrán su alícuota actual.|• Clients with other VAT types will not be affected and will maintain their current rate.
Razón Social:=Razón Social:|Business Name:
CUIT:=CUIT:|CUIT:
Tipo IVA:=Tipo IVA:|VAT Type:
Dirección:=Dirección:|Address:
Localidad:=Localidad:|City:
Provincia:=Provincia:|Province:
Email:=Email:|Email:
Teléfono:=Teléfono:|Phone:
Idioma Actual:=Idioma Actual:|Current Language:
English=English|English
Error al actualizar la grilla=Error al actualizar la grilla|Error refreshing grid
El archivo de ayuda no se encuentra en la ruta=El archivo de ayuda no se encuentra en la ruta|The help file was not found at
Por favor, compile el archivo CHM siguiendo las instrucciones en=Por favor, compile el archivo CHM siguiendo las instrucciones en|Please compile the CHM file following the instructions in
Error al abrir el manual de usuario=Error al abrir el manual de usuario|Error opening user manual
Manual de Usuario=Manual de Usuario|User Manual
Manual del desarrollador=Manual del desarrollador|Developer's manual
